,locality_name,postal_code,center_latitude,center_longitude,locality
74,Chaneins,1990,46.094,4.855,Chaneins (1990)
75,Chanoz-Châtenay,1400,46.186,5.028,Chanoz-Châtenay (1400)
76,La Chapelle-du-Châtelard,1240,46.074,5.022,La Chapelle-du-Châtelard (1240)
77,Charix,1130,46.186,5.681,Charix (1130)
78,Charnoz-sur-Ain,1800,45.874,5.221,Charnoz-sur-Ain (1800)
79,Château-Gaillard,1500,45.973,5.308,Château-Gaillard (1500)
80,Châtenay,1320,46.026,5.205,Châtenay (1320)
81,Châtillon-la-Palud,1320,45.975,5.242,Châtillon-la-Palud (1320)
82,Châtillon-sur-Chalaronne,1400,46.123,4.958,Châtillon-sur-Chalaronne (1400)
83,Chavannes-sur-Reyssouze,1190,46.438,5.007,Chavannes-sur-Reyssouze (1190)
84,Nivigne et Suran,1250,46.275,5.416,Nivigne et Suran (1250)
85,Chaveyriat,1660,46.199,5.056,Chaveyriat (1660)
86,Chazey-Bons,1300,45.793,5.685,Chazey-Bons (1300)
87,Chazey-sur-Ain,1150,45.893,5.255,Chazey-sur-Ain (1150)
88,Cheignieu-la-Balme,1510,45.823,5.605,Cheignieu-la-Balme (1510)
89,Chevillard,1430,46.11,5.581,Chevillard (1430)
90,Chevroux,1190,46.382,4.963,Chevroux (1190)
91,Chevry,1170,46.283,6.047,Chevry (1170)
92,Chézery-Forens,1410,46.223,5.872,Chézery-Forens (1410)
93,Civrieux,1390,45.922,4.886,Civrieux (1390)
94,Cize,1250,46.2,5.451,Cize (1250)
95,Cleyzieu,1230,45.902,5.433,Cleyzieu (1230)
96,Coligny,1270,46.387,5.331,Coligny (1270)
97,Collonges,1550,46.142,5.9,Collonges (1550)
98,Colomieu,1300,45.736,5.627,Colomieu (1300)
99,Conand,1230,45.884,5.475,Conand (1230)
100,Condamine,1430,46.106,5.556,Condamine (1430)
101,Condeissiat,1400,46.154,5.084,Condeissiat (1400)
102,Confort,1200,46.154,5.833,Confort (1200)
103,Confrançon,1310,46.27,5.058,Confrançon (1310)
104,Contrevoz,1300,45.801,5.621,Contrevoz (1300)
105,Conzieu,1300,45.725,5.604,Conzieu (1300)
106,Corbonod,1420,45.966,5.79,Corbonod (1420)
107,Corlier,1110,46.034,5.496,Corlier (1110)
108,Cormoranche-sur-Saône,1290,46.24,4.828,Cormoranche-sur-Saône (1290)
109,Cormoz,1560,46.434,5.222,Cormoz (1560)
110,Corveissiat,1250,46.25,5.472,Corveissiat (1250)
111,Courmangoux,1370,46.327,5.356,Courmangoux (1370)
112,Courtes,1560,46.457,5.111,Courtes (1560)
113,Crans,1320,45.966,5.195,Crans (1320)
114,Bresse Vallons,1340,46.313,5.178,Bresse Vallons (1340)
115,Cressin-Rochefort,1350,45.783,5.766,Cressin-Rochefort (1350)
116,Crottet,1290,46.283,4.878,Crottet (1290)
117,Crozet,1170,46.292,5.995,Crozet (1170)
118,Cruzilles-lès-Mépillat,1290,46.222,4.875,Cruzilles-lès-Mépillat (1290)
119,Culoz-Béon,1350,45.856,5.784,Culoz-Béon (1350)
120,Curciat-Dongalon,1560,46.488,5.163,Curciat-Dongalon (1560)
121,Curtafond,1310,46.273,5.102,Curtafond (1310)
122,Cuzieu,1300,45.82,5.677,Cuzieu (1300)
123,Dagneux,1120,45.853,5.073,Dagneux (1120)
124,Divonne-les-Bains,1220,46.376,6.116,Divonne-les-Bains (1220)
125,Dompierre-sur-Veyle,1240,46.067,5.217,Dompierre-sur-Veyle (1240)
126,Dompierre-sur-Chalaronne,1400,46.142,4.901,Dompierre-sur-Chalaronne (1400)
127,Domsure,1270,46.424,5.293,Domsure (1270)
128,Dortan,1590,46.313,5.642,Dortan (1590)
129,Douvres,1500,45.984,5.371,Douvres (1500)
130,Drom,1250,46.22,5.368,Drom (1250)
131,Druillat,1160,46.068,5.294,Druillat (1160)
132,Échallon,1130,46.227,5.733,Échallon (1130)
133,Échenevex,1170,46.316,6.019,Échenevex (1170)
134,Évosges,1230,45.965,5.503,Évosges (1230)
135,Faramans,1800,45.91,5.125,Faramans (1800)
136,Fareins,1480,46.021,4.762,Fareins (1480)
137,Farges,1550,46.166,5.9,Farges (1550)
138,Feillens,1570,46.337,4.885,Feillens (1570)
139,Ferney-Voltaire,1210,46.252,6.108,Ferney-Voltaire (1210)
140,Flaxieu,1350,45.811,5.745,Flaxieu (1350)
141,Foissiat,1340,46.378,5.185,Foissiat (1340)
142,Francheleins,1090,46.074,4.813,Francheleins (1090)
143,Frans,1480,45.994,4.78,Frans (1480)
144,Garnerans,1140,46.214,4.828,Garnerans (1140)
145,Genouilleux,1090,46.12,4.793,Genouilleux (1090)
146,Béard-Géovreissiat,1460,46.19,5.551,Béard-Géovreissiat (1460)
147,Géovreisset,1100,46.251,5.613,Géovreisset (1100)
148,Gex,1170,46.347,6.046,Gex (1170)
149,Giron,1130,46.223,5.78,Giron (1130)
150,Gorrevod,1190,46.415,4.951,Gorrevod (1190)
151,Grand-Corent,1250,46.207,5.433,Grand-Corent (1250)
152,Grièges,1290,46.263,4.846,Grièges (1290)
153,Grilly,1220,46.332,6.114,Grilly (1220)
154,Groissiat,1100,46.226,5.611,Groissiat (1100)
155,Guéreins,1090,46.107,4.782,Guéreins (1090)
156,Hautecourt-Romanèche,1250,46.161,5.429,Hautecourt-Romanèche (1250)
157,Plateau d'Hauteville,1110,45.97,5.576,Plateau d'Hauteville (1110)
158,Haut Valromey,1260,46.032,5.703,Haut Valromey (1260)
159,Illiat,1140,46.187,4.888,Illiat (1140)
160,Injoux-Génissiat,1200,46.05,5.76,Injoux-Génissiat (1200)
161,Innimond,1680,45.792,5.574,Innimond (1680)
162,Izenave,1430,46.038,5.524,Izenave (1430)
163,Izernore,1580,46.218,5.563,Izernore (1580)
164,Izieu,1300,45.656,5.639,Izieu (1300)
165,Jassans-Riottier,1480,45.978,4.76,Jassans-Riottier (1480)
166,Jasseron,1250,46.215,5.312,Jasseron (1250)
167,Jayat,1340,46.366,5.114,Jayat (1340)
168,Journans,1250,46.146,5.334,Journans (1250)
169,Joyeux,1800,45.95,5.103,Joyeux (1800)
170,Jujurieux,1640,46.05,5.411,Jujurieux (1640)
171,Labalme,1450,46.093,5.494,Labalme (1450)
172,Lagnieu,1150,45.892,5.329,Lagnieu (1150)
173,Laiz,1290,46.247,4.899,Laiz (1290)
174,Le Poizat-Lalleyriat,1130,46.148,5.718,Le Poizat-Lalleyriat (1130)
175,Lantenay,1430,46.054,5.541,Lantenay (1430)
176,Lapeyrouse,1330,45.986,4.982,Lapeyrouse (1330)
177,Lavours,1350,45.811,5.773,Lavours (1350)
178,Léaz,1200,46.109,5.876,Léaz (1200)
179,Lélex,1410,46.286,5.929,Lélex (1410)
180,Lent,1240,46.116,5.202,Lent (1240)
181,Lescheroux,1560,46.412,5.151,Lescheroux (1560)
182,Leyment,1150,45.927,5.295,Leyment (1150)
183,Leyssard,1450,46.162,5.476,Leyssard (1450)
184,Surjoux-Lhopital,1420,46.024,5.762,Surjoux-Lhopital (1420)
185,Lhuis,1680,45.744,5.536,Lhuis (1680)
186,Lompnas,1680,45.811,5.523,Lompnas (1680)
187,Loyettes,1360,45.792,5.218,Loyettes (1360)
188,Lurcy,1090,46.062,4.781,Lurcy (1090)
189,Magnieu,1300,45.775,5.715,Magnieu (1300)
190,Maillat,1430,46.12,5.528,Maillat (1430)
191,Malafretaz,1340,46.33,5.144,Malafretaz (1340)
192,Mantenay-Montlin,1560,46.43,5.107,Mantenay-Montlin (1560)
193,Manziat,1570,46.364,4.902,Manziat (1570)
194,Marboz,1851,46.343,5.244,Marboz (1851)
195,Marchamp,1680,45.774,5.55,Marchamp (1680)
196,Marignieu,1300,45.801,5.716,Marignieu (1300)
197,Marlieux,1240,46.055,5.074,Marlieux (1240)
198,Marsonnas,1340,46.341,5.064,Marsonnas (1340)
199,Martignat,1100,46.203,5.614,Martignat (1100)
200,Massieux,1600,45.909,4.828,Massieux (1600)
201,Massignieu-de-Rives,1300,45.757,5.762,Massignieu-de-Rives (1300)
202,Matafelon-Granges,1580,46.256,5.54,Matafelon-Granges (1580)
203,Meillonnas,1370,46.245,5.336,Meillonnas (1370)
204,Mérignat,1450,46.065,5.442,Mérignat (1450)
205,Messimy-sur-Saône,1480,46.047,4.759,Messimy-sur-Saône (1480)
206,Meximieux,1800,45.906,5.204,Meximieux (1800)
207,Bohas-Meyriat-Rignat,1250,46.143,5.378,Bohas-Meyriat-Rignat (1250)
208,Mézériat,1660,46.242,5.047,Mézériat (1660)
209,Mijoux,1170,46.362,6.009,Mijoux (1170)
210,Mionnay,1390,45.896,4.924,Mionnay (1390)
211,Miribel,1700,45.844,4.941,Miribel (1700)
212,Misérieux,1600,45.976,4.81,Misérieux (1600)
213,Mogneneins,1140,46.145,4.82,Mogneneins (1140)
214,Montagnat,1250,46.169,5.28,Montagnat (1250)
215,Montagnieu,1470,45.799,5.464,Montagnieu (1470)
216,Montanges,1200,46.173,5.79,Montanges (1200)
217,Montceaux,1090,46.096,4.804,Montceaux (1090)
218,Montcet,1310,46.219,5.112,Montcet (1310)
219,Le Montellier,1800,45.929,5.071,Le Montellier (1800)
220,Monthieux,1390,45.962,4.946,Monthieux (1390)
221,Montluel,1120,45.891,5.02,Montluel (1120)
222,Montmerle-sur-Saône,1090,46.085,4.761,Montmerle-sur-Saône (1090)
223,Montracol,1310,46.187,5.117,Montracol (1310)
224,Montréal-la-Cluse,1460,46.18,5.595,Montréal-la-Cluse (1460)
225,Montrevel-en-Bresse,1340,46.325,5.113,Montrevel-en-Bresse (1340)
226,Nurieux-Volognat,1460,46.183,5.514,Nurieux-Volognat (1460)
227,Murs-et-Gélignieux,1300,45.642,5.66,Murs-et-Gélignieux (1300)
228,Nantua,1130,46.154,5.614,Nantua (1130)
229,Neuville-les-Dames,1400,46.157,5.009,Neuville-les-Dames (1400)
230,Neuville-sur-Ain,1160,46.091,5.374,Neuville-sur-Ain (1160)
231,Les Neyrolles,1130,46.134,5.637,Les Neyrolles (1130)
232,Neyron,1700,45.818,4.931,Neyron (1700)
233,Niévroz,1120,45.822,5.06,Niévroz (1120)
234,Nivollet-Montgriffon,1230,46.0,5.458,Nivollet-Montgriffon (1230)
235,Oncieu,1230,45.965,5.472,Oncieu (1230)
236,Ordonnaz,1510,45.834,5.54,Ordonnaz (1510)
237,Ornex,1210,46.278,6.094,Ornex (1210)
238,Outriaz,1430,46.068,5.557,Outriaz (1430)
239,Oyonnax,1100,46.26,5.653,Oyonnax (1100)
240,Ozan,1190,46.387,4.918,Ozan (1190)
241,Parcieux,1600,45.918,4.828,Parcieux (1600)
242,Parves et Nattages,1300,45.744,5.738,Parves et Nattages (1300)
243,Péron,1630,46.191,5.92,Péron (1630)
244,Péronnas,1960,46.171,5.218,Péronnas (1960)
245,Pérouges,1800,45.88,5.18,Pérouges (1800)
246,Perrex,1540,46.246,4.975,Perrex (1540)
247,Peyriat,1430,46.15,5.506,Peyriat (1430)
248,Peyrieu,1300,45.676,5.679,Peyrieu (1300)
249,Peyzieux-sur-Saône,1140,46.123,4.822,Peyzieux-sur-Saône (1140)
250,Pirajoux,1270,46.386,5.274,Pirajoux (1270)
251,Pizay,1120,45.893,5.089,Pizay (1120)
252,Plagne,1130,46.188,5.718,Plagne (1130)
253,Le Plantay,1330,46.023,5.089,Le Plantay (1330)
254,Polliat,1310,46.246,5.138,Polliat (1310)
255,Pollieu,1350,45.796,5.748,Pollieu (1350)
256,Poncin,1450,46.09,5.417,Poncin (1450)
257,Pont-d'Ain,1160,46.054,5.347,Pont-d'Ain (1160)
258,Pont-de-Vaux,1190,46.442,4.929,Pont-de-Vaux (1190)
259,Pont-de-Veyle,1290,46.264,4.882,Pont-de-Veyle (1290)
260,Port,1460,46.156,5.576,Port (1460)
261,Pougny,1550,46.145,5.951,Pougny (1550)
262,Pouillat,1250,46.322,5.423,Pouillat (1250)
263,Prémeyzel,1300,45.681,5.644,Prémeyzel (1300)
264,Prémillieu,1110,45.876,5.565,Prémillieu (1110)
265,Prévessin-Moëns,1280,46.258,6.072,Prévessin-Moëns (1280)
266,Priay,1160,46.02,5.285,Priay (1160)
267,Ramasse,1250,46.191,5.356,Ramasse (1250)
268,Rancé,1390,45.967,4.863,Rancé (1390)
269,Relevant,1990,46.084,4.942,Relevant (1990)
270,Replonges,1750,46.308,4.875,Replonges (1750)
271,Revonnas,1250,46.162,5.335,Revonnas (1250)
272,Reyrieux,1600,45.937,4.828,Reyrieux (1600)
273,Reyssouze,1190,46.429,4.913,Reyssouze (1190)
274,Rignieux-le-Franc,1800,45.952,5.169,Rignieux-le-Franc (1800)
275,Romans,1400,46.124,5.022,Romans (1400)
276,Rossillon,1510,45.836,5.599,Rossillon (1510)
277,Ruffieu,1260,46.004,5.653,Ruffieu (1260)
278,Saint-Alban,1450,46.098,5.456,Saint-Alban (1450)
279,Saint-André-de-Bâgé,1380,46.298,4.914,Saint-André-de-Bâgé (1380)
280,Saint-André-de-Corcy,1390,45.927,4.954,Saint-André-de-Corcy (1390)
281,Saint-André-d'Huiriat,1290,46.214,4.913,Saint-André-d'Huiriat (1290)
282,Saint-André-le-Bouchoux,1240,46.113,5.08,Saint-André-le-Bouchoux (1240)
283,Saint-André-sur-Vieux-Jonc,1960,46.149,5.142,Saint-André-sur-Vieux-Jonc (1960)
284,Saint-Bénigne,1190,46.452,4.953,Saint-Bénigne (1190)
285,Groslée-Saint-Benoit,1300,45.689,5.584,Groslée-Saint-Benoit (1300)
286,Saint-Bernard,1600,45.949,4.743,Saint-Bernard (1600)
287,Sainte-Croix,1120,45.896,5.049,Sainte-Croix (1120)
288,Saint-Cyr-sur-Menthon,1380,46.275,4.968,Saint-Cyr-sur-Menthon (1380)
289,Saint-Denis-lès-Bourg,1000,46.211,5.185,Saint-Denis-lès-Bourg (1000)
290,Saint-Denis-en-Bugey,1500,45.949,5.324,Saint-Denis-en-Bugey (1500)
291,Saint-Didier-d'Aussiat,1340,46.307,5.058,Saint-Didier-d'Aussiat (1340)
292,Saint-Didier-de-Formans,1600,45.956,4.778,Saint-Didier-de-Formans (1600)
293,Saint-Didier-sur-Chalaronne,1140,46.184,4.816,Saint-Didier-sur-Chalaronne (1140)
294,Saint-Éloi,1800,45.932,5.152,Saint-Éloi (1800)
295,Saint-Étienne-du-Bois,1370,46.275,5.284,Saint-Étienne-du-Bois (1370)
296,Saint-Étienne-sur-Chalaronne,1140,46.147,4.867,Saint-Étienne-sur-Chalaronne (1140)
297,Saint-Étienne-sur-Reyssouze,1190,46.403,5.006,Saint-Étienne-sur-Reyssouze (1190)
298,Sainte-Euphémie,1600,45.967,4.795,Sainte-Euphémie (1600)
299,Saint-Genis-Pouilly,1630,46.254,6.036,Saint-Genis-Pouilly (1630)
300,Saint-Genis-sur-Menthon,1380,46.282,5.013,Saint-Genis-sur-Menthon (1380)
301,Saint-Georges-sur-Renon,1400,46.104,5.03,Saint-Georges-sur-Renon (1400)
302,Saint-Germain-de-Joux,1130,46.182,5.747,Saint-Germain-de-Joux (1130)
303,Saint-Germain-les-Paroisses,1300,45.771,5.618,Saint-Germain-les-Paroisses (1300)
304,Saint-Germain-sur-Renon,1240,46.08,5.061,Saint-Germain-sur-Renon (1240)
305,Saint-Jean-de-Gonville,1630,46.218,5.942,Saint-Jean-de-Gonville (1630)
306,Saint-Jean-de-Niost,1800,45.84,5.212,Saint-Jean-de-Niost (1800)
307,Saint-Jean-de-Thurigneux,1390,45.96,4.899,Saint-Jean-de-Thurigneux (1390)
308,Saint-Jean-le-Vieux,1640,46.029,5.382,Saint-Jean-le-Vieux (1640)
309,Saint-Jean-sur-Reyssouze,1560,46.397,5.063,Saint-Jean-sur-Reyssouze (1560)
310,Saint-Jean-sur-Veyle,1290,46.268,4.922,Saint-Jean-sur-Veyle (1290)
311,Sainte-Julie,1150,45.882,5.284,Sainte-Julie (1150)
