,locality_name,postal_code,center_latitude,center_longitude,locality
2887,Carcanières,9460,42.708,2.124,Carcanières (9460)
2888,Carla-Bayle,9130,43.158,1.372,Carla-Bayle (9130)
2889,Carla-de-Roquefort,9300,42.975,1.762,Carla-de-Roquefort (9300)
2890,Le Carlaret,9100,43.131,1.694,Le Carlaret (9100)
2891,Castelnau-Durban,9420,42.993,1.338,Castelnau-Durban (9420)
2892,Castéras,9130,43.127,1.404,Castéras (9130)
2893,Castex,9350,43.166,1.32,Castex (9350)
2894,Castillon-en-Couserans,9800,42.917,1.056,Castillon-en-Couserans (9800)
2895,Caumont,9160,43.024,1.079,Caumont (9160)
2896,Caussou,9250,42.772,1.822,Caussou (9250)
2897,Caychax,9250,42.807,1.728,Caychax (9250)
2898,Cazals-des-Baylès,9500,43.093,1.94,Cazals-des-Baylès (9500)
2899,Cazaux,9120,43.053,1.519,Cazaux (9120)
2900,Cazavet,9160,42.998,1.035,Cazavet (9160)
2901,Cazenave-Serres-et-Allens,9400,42.842,1.691,Cazenave-Serres-et-Allens (9400)
2902,Celles,9000,42.917,1.697,Celles (9000)
2903,Cérizols,9230,43.12,1.067,Cérizols (9230)
2904,Cescau,9800,42.929,1.048,Cescau (9800)
2905,Château-Verdun,9310,42.782,1.677,Château-Verdun (9310)
2906,Clermont,9420,43.037,1.291,Clermont (9420)
2907,Contrazy,9230,43.058,1.207,Contrazy (9230)
2908,Cos,9000,42.98,1.569,Cos (9000)
2909,Couflens,9140,42.753,1.183,Couflens (9140)
2910,Coussa,9120,43.065,1.689,Coussa (9120)
2911,Coutens,9500,43.068,1.822,Coutens (9500)
2912,Crampagna,9120,43.028,1.59,Crampagna (9120)
2913,Dalou,9120,43.029,1.648,Dalou (9120)
2914,Daumazan-sur-Arize,9350,43.145,1.304,Daumazan-sur-Arize (9350)
2915,Dreuilhe,9300,42.944,1.871,Dreuilhe (9300)
2916,Dun,9600,43.026,1.793,Dun (9600)
2917,Durban-sur-Arize,9240,43.02,1.347,Durban-sur-Arize (9240)
2918,Durfort,9130,43.195,1.464,Durfort (9130)
2919,Encourtiech,9200,42.964,1.193,Encourtiech (9200)
2920,Engomer,9800,42.94,1.063,Engomer (9800)
2921,Ercé,9140,42.834,1.303,Ercé (9140)
2922,Erp,9200,42.935,1.2,Erp (9200)
2923,Esclagne,9600,42.981,1.843,Esclagne (9600)
2924,Escosse,9100,43.128,1.549,Escosse (9100)
2925,Esplas,9700,43.187,1.5,Esplas (9700)
2926,Esplas-de-Sérou,9420,42.959,1.354,Esplas-de-Sérou (9420)
2927,Eycheil,9200,42.955,1.156,Eycheil (9200)
2928,Fabas,9230,43.119,1.114,Fabas (9230)
2929,Ferrières-sur-Ariège,9000,42.938,1.607,Ferrières-sur-Ariège (9000)
2930,Foix,9000,42.966,1.61,Foix (9000)
2931,Fornex,9350,43.164,1.242,Fornex (9350)
2932,Le Fossat,9130,43.18,1.415,Le Fossat (9130)
2933,Fougax-et-Barrineuf,9300,42.872,1.898,Fougax-et-Barrineuf (9300)
2934,Freychenet,9300,42.892,1.73,Freychenet (9300)
2935,Gabre,9290,43.066,1.421,Gabre (9290)
2936,Gajan,9190,43.037,1.135,Gajan (9190)
2937,Galey,9800,42.946,0.902,Galey (9800)
2938,Ganac,9000,42.931,1.56,Ganac (9000)
2939,Garanou,9250,42.765,1.745,Garanou (9250)
2940,Gaudiès,9700,43.173,1.73,Gaudiès (9700)
2941,Génat,9400,42.829,1.566,Génat (9400)
2942,Gestiès,9220,42.718,1.585,Gestiès (9220)
2943,Gourbit,9400,42.828,1.516,Gourbit (9400)
2944,Gudas,9120,43.002,1.68,Gudas (9120)
2945,L'Herm,9000,42.973,1.679,L'Herm (9000)
2946,L'Hospitalet-près-l'Andorre,9390,42.596,1.778,L'Hospitalet-près-l'Andorre (9390)
2947,Ignaux,9110,42.743,1.846,Ignaux (9110)
2948,Illartein,9800,42.922,0.954,Illartein (9800)
2949,Ilhat,9300,42.951,1.785,Ilhat (9300)
2950,Illier-et-Laramade,9220,42.788,1.542,Illier-et-Laramade (9220)
2951,Les Issards,9100,43.08,1.739,Les Issards (9100)
2952,Justiniac,9700,43.214,1.489,Justiniac (9700)
2953,Labatut,9700,43.262,1.522,Labatut (9700)
2954,Lacave,9160,43.047,1.013,Lacave (9160)
2955,Lacourt,9200,42.933,1.171,Lacourt (9200)
2956,Lagarde,9500,43.046,1.936,Lagarde (9500)
2957,Lanoux,9130,43.12,1.424,Lanoux (9130)
2958,Lapège,9400,42.804,1.555,Lapège (9400)
2959,Lapenne,9500,43.144,1.776,Lapenne (9500)
2960,Larbont,9240,42.993,1.4,Larbont (9240)
2961,Larcat,9310,42.769,1.646,Larcat (9310)
2962,Larnat,9310,42.797,1.628,Larnat (9310)
2963,Laroque-d'Olmes,9600,42.968,1.872,Laroque-d'Olmes (9600)
2964,Lasserre,9230,43.077,1.164,Lasserre (9230)
2965,Lassur,9310,42.741,1.718,Lassur (9310)
2966,Lavelanet,9300,42.934,1.846,Lavelanet (9300)
2967,Léran,9600,42.985,1.918,Léran (9600)
2968,Lercoul,9220,42.71,1.528,Lercoul (9220)
2969,Lescousse,9100,43.149,1.513,Lescousse (9100)
2970,Lescure,9420,43.009,1.242,Lescure (9420)
2971,Lesparrou,9300,42.928,1.939,Lesparrou (9300)
2972,Leychert,9300,42.946,1.726,Leychert (9300)
2973,Lézat-sur-Lèze,9210,43.28,1.345,Lézat-sur-Lèze (9210)
2974,Lieurac,9300,42.985,1.791,Lieurac (9300)
2975,Limbrassac,9600,43.011,1.844,Limbrassac (9600)
2976,Lissac,9700,43.267,1.51,Lissac (9700)
2977,Lordat,9250,42.798,1.785,Lordat (9250)
2978,Loubaut,9350,43.188,1.283,Loubaut (9350)
2979,Loubens,9120,43.043,1.555,Loubens (9120)
2980,Loubières,9000,43.01,1.594,Loubières (9000)
2981,Ludiès,9100,43.12,1.717,Ludiès (9100)
2982,Luzenac,9250,42.72,1.743,Luzenac (9250)
2983,Madière,9100,43.109,1.511,Madière (9100)
2984,Malegoude,9500,43.112,1.933,Malegoude (9500)
2985,Malléon,9120,43.033,1.716,Malléon (9120)
2986,Manses,9500,43.107,1.814,Manses (9500)
2987,Le Mas-d'Azil,9290,43.069,1.349,Le Mas-d'Azil (9290)
2988,Massat,9320,42.876,1.377,Massat (9320)
2989,Mauvezin-de-Prat,9160,43.032,0.992,Mauvezin-de-Prat (9160)
2990,Mauvezin-de-Sainte-Croix,9230,43.077,1.232,Mauvezin-de-Sainte-Croix (9230)
2991,Mazères,9270,43.23,1.679,Mazères (9270)
2992,Méras,9350,43.182,1.308,Méras (9350)
2993,Mercenac,9160,43.053,1.068,Mercenac (9160)
2994,Mercus-Garrabet,9400,42.88,1.644,Mercus-Garrabet (9400)
2995,Mérens-les-Vals,9110,42.628,1.834,Mérens-les-Vals (9110)
2996,Mérigon,9230,43.091,1.205,Mérigon (9230)
2997,Miglos,9400,42.78,1.606,Miglos (9400)
2998,Mijanès,9460,42.71,2.012,Mijanès (9460)
2999,Mirepoix,9500,43.109,1.869,Mirepoix (9500)
3000,Monesple,9130,43.095,1.476,Monesple (9130)
3001,Montagagne,9240,42.964,1.413,Montagagne (9240)
3002,Montaillou,9110,42.78,1.903,Montaillou (9110)
3003,Montardit,9230,43.07,1.186,Montardit (9230)
3004,Montaut,9700,43.186,1.656,Montaut (9700)
3005,Montbel,9600,42.978,1.967,Montbel (9600)
3006,Montégut-en-Couserans,9200,42.983,1.093,Montégut-en-Couserans (9200)
3007,Montégut-Plantaurel,9120,43.076,1.497,Montégut-Plantaurel (9120)
3008,Montels,9240,43.006,1.47,Montels (9240)
3009,Montesquieu-Avantès,9200,43.035,1.216,Montesquieu-Avantès (9200)
3010,Montfa,9350,43.1,1.288,Montfa (9350)
3011,Montferrier,9300,42.866,1.771,Montferrier (9300)
3012,Montgailhard,9330,42.938,1.644,Montgailhard (9330)
3013,Montgauch,9160,42.994,1.073,Montgauch (9160)
3014,Montjoie-en-Couserans,9200,43.015,1.176,Montjoie-en-Couserans (9200)
3015,Montoulieu,9000,42.904,1.605,Montoulieu (9000)
3016,Montségur,9300,42.843,1.827,Montségur (9300)
3017,Montseron,9240,43.021,1.317,Montseron (9240)
3018,Moulin-Neuf,9500,43.072,1.948,Moulin-Neuf (9500)
3019,Moulis,9200,42.944,1.098,Moulis (9200)
3020,Nalzen,9300,42.919,1.748,Nalzen (9300)
3021,Nescus,9240,42.992,1.435,Nescus (9240)
3022,Niaux,9400,42.816,1.599,Niaux (9400)
3023,Orgeix,9110,42.676,1.876,Orgeix (9110)
3024,Orgibet,9800,42.926,0.938,Orgibet (9800)
3025,Orlu,9110,42.658,1.937,Orlu (9110)
3026,Ornolac-Ussat-les-Bains,9400,42.822,1.646,Ornolac-Ussat-les-Bains (9400)
3027,Orus,9220,42.794,1.512,Orus (9220)
3028,Oust,9140,42.86,1.235,Oust (9140)
3029,Pailhès,9130,43.1,1.447,Pailhès (9130)
3030,Pamiers,9100,43.124,1.615,Pamiers (9100)
3031,Pech,9310,42.763,1.688,Pech (9310)
3032,Péreille,9300,42.929,1.808,Péreille (9300)
3033,Perles-et-Castelet,9110,42.719,1.774,Perles-et-Castelet (9110)
3034,Le Peyrat,9600,42.956,1.928,Le Peyrat (9600)
3035,Le Pla,9460,42.688,2.056,Le Pla (9460)
3036,Le Port,9320,42.836,1.386,Le Port (9320)
3037,Prades,9110,42.791,1.86,Prades (9110)
3038,Pradettes,9600,42.991,1.821,Pradettes (9600)
3039,Pradières,9000,42.961,1.656,Pradières (9000)
3040,Prat-Bonrepaux,9160,43.031,1.029,Prat-Bonrepaux (9160)
3041,Prayols,9000,42.922,1.601,Prayols (9000)
3042,Le Puch,9460,42.721,2.099,Le Puch (9460)
3043,Les Pujols,9100,43.092,1.718,Les Pujols (9100)
3044,Quérigut,9460,42.683,2.114,Quérigut (9460)
3045,Quié,9400,42.843,1.59,Quié (9400)
3046,Rabat-les-Trois-Seigneurs,9400,42.846,1.493,Rabat-les-Trois-Seigneurs (9400)
3047,Raissac,9300,42.942,1.816,Raissac (9300)
3048,Régat,9600,42.988,1.887,Régat (9600)
3049,Rieucros,9500,43.076,1.763,Rieucros (9500)
3050,Rieux-de-Pelleport,9120,43.058,1.599,Rieux-de-Pelleport (9120)
3051,Rimont,9420,42.988,1.284,Rimont (9420)
3052,Rivèrenert,9200,42.951,1.262,Rivèrenert (9200)
3053,Roquefixade,9300,42.933,1.764,Roquefixade (9300)
3054,Roquefort-les-Cascades,9300,42.961,1.743,Roquefort-les-Cascades (9300)
3055,Roumengoux,9500,43.076,1.924,Roumengoux (9500)
3056,Rouze,9460,42.74,2.071,Rouze (9460)
3057,Sabarat,9350,43.098,1.4,Sabarat (9350)
3058,Saint-Amadou,9100,43.111,1.715,Saint-Amadou (9100)
3059,Saint-Bauzeil,9120,43.082,1.581,Saint-Bauzeil (9120)
3060,Sainte-Croix-Volvestre,9230,43.12,1.171,Sainte-Croix-Volvestre (9230)
3061,Saint-Félix-de-Rieutord,9120,43.044,1.67,Saint-Félix-de-Rieutord (9120)
3062,Saint-Félix-de-Tournegat,9500,43.124,1.756,Saint-Félix-de-Tournegat (9500)
3063,Sainte-Foi,9500,43.126,1.917,Sainte-Foi (9500)
3064,Saint-Girons,9200,42.975,1.153,Saint-Girons (9200)
3065,Saint-Jean-d'Aigues-Vives,9300,42.919,1.877,Saint-Jean-d'Aigues-Vives (9300)
3066,Saint-Jean-du-Castillonnais,9800,42.952,0.929,Saint-Jean-du-Castillonnais (9800)
3067,Saint-Jean-de-Verges,9000,43.013,1.633,Saint-Jean-de-Verges (9000)
3068,Saint-Jean-du-Falga,9100,43.086,1.624,Saint-Jean-du-Falga (9100)
3069,Saint-Julien-de-Gras-Capou,9500,43.037,1.856,Saint-Julien-de-Gras-Capou (9500)
3070,Saint-Lary,9800,42.901,0.868,Saint-Lary (9800)
3071,Saint-Lizier,9190,43.0,1.129,Saint-Lizier (9190)
3072,Saint-Martin-de-Caralp,9000,42.992,1.538,Saint-Martin-de-Caralp (9000)
3073,Saint-Martin-d'Oydes,9100,43.166,1.484,Saint-Martin-d'Oydes (9100)
3074,Saint-Michel,9100,43.132,1.502,Saint-Michel (9100)
3075,Saint-Paul-de-Jarrat,9000,42.896,1.672,Saint-Paul-de-Jarrat (9000)
3076,Saint-Pierre-de-Rivière,9000,42.966,1.557,Saint-Pierre-de-Rivière (9000)
3077,Saint-Quentin-la-Tour,9500,43.031,1.907,Saint-Quentin-la-Tour (9500)
3078,Saint-Quirc,9700,43.279,1.502,Saint-Quirc (9700)
3079,Saint-Victor-Rouzaud,9100,43.088,1.548,Saint-Victor-Rouzaud (9100)
3080,Saint-Ybars,9210,43.242,1.398,Saint-Ybars (9210)
3081,Salsein,9800,42.904,1.002,Salsein (9800)
3082,Saurat,9400,42.884,1.505,Saurat (9400)
3083,Sautel,9300,42.968,1.816,Sautel (9300)
3084,Saverdun,9700,43.227,1.574,Saverdun (9700)
3085,Savignac-les-Ormeaux,9110,42.682,1.779,Savignac-les-Ormeaux (9110)
3086,Ségura,9120,43.032,1.693,Ségura (9120)
3087,Seix,9140,42.818,1.148,Seix (9140)
3088,Senconac,9250,42.813,1.717,Senconac (9250)
3089,Lorp-Sentaraille,9190,43.016,1.108,Lorp-Sentaraille (9190)
3090,Sentein,9800,42.836,0.92,Sentein (9800)
3091,Sentenac-d'Oust,9140,42.866,1.14,Sentenac-d'Oust (9140)
3092,Sentenac-de-Sérou,9240,42.945,1.395,Sentenac-de-Sérou (9240)
3093,Serres-sur-Arget,9000,42.97,1.504,Serres-sur-Arget (9000)
3094,Sieuras,9130,43.192,1.344,Sieuras (9130)
3095,Siguer,9220,42.708,1.553,Siguer (9220)
3096,Aulos-Sinsat,9310,42.801,1.66,Aulos-Sinsat (9310)
3097,Sor,9800,42.92,1.012,Sor (9800)
3098,Sorgeat,9110,42.744,1.888,Sorgeat (9110)
3099,Soueix-Rogalle,9140,42.897,1.195,Soueix-Rogalle (9140)
3100,Soula,9000,42.941,1.691,Soula (9000)
3101,Soulan,9320,42.916,1.243,Soulan (9320)
3102,Surba,9400,42.86,1.582,Surba (9400)
3103,Suzan,9240,43.029,1.435,Suzan (9240)
3104,Tabre,9600,42.989,1.855,Tabre (9600)
3105,Tarascon-sur-Ariège,9400,42.846,1.596,Tarascon-sur-Ariège (9400)
3106,Taurignan-Castet,9160,43.06,1.102,Taurignan-Castet (9160)
3107,Taurignan-Vieux,9190,43.043,1.114,Taurignan-Vieux (9190)
3108,Teilhet,9500,43.097,1.782,Teilhet (9500)
3109,Thouars-sur-Arize,9350,43.182,1.237,Thouars-sur-Arize (9350)
3110,Tignac,9110,42.751,1.799,Tignac (9110)
3111,La Tour-du-Crieu,9100,43.105,1.667,La Tour-du-Crieu (9100)
3112,Tourtouse,9230,43.091,1.137,Tourtouse (9230)
3113,Tourtrol,9500,43.069,1.799,Tourtrol (9500)
3114,Trémoulet,9700,43.158,1.717,Trémoulet (9700)
3115,Troye-d'Ariège,9500,43.021,1.887,Troye-d'Ariège (9500)
3116,Unac,9250,42.759,1.78,Unac (9250)
3117,Unzent,9100,43.171,1.533,Unzent (9100)
3118,Urs,9310,42.778,1.735,Urs (9310)
3119,Ussat,9400,42.834,1.622,Ussat (9400)
3120,Ustou,9140,42.774,1.263,Ustou (9140)
3121,Vals,9500,43.102,1.756,Vals (9500)
3122,Varilhes,9120,43.055,1.634,Varilhes (9120)
3123,Vaychis,9110,42.744,1.822,Vaychis (9110)
3124,Vèbre,9310,42.77,1.718,Vèbre (9310)
3125,Ventenac,9120,42.997,1.724,Ventenac (9120)
3126,Verdun,9310,42.806,1.692,Verdun (9310)
3127,Vernajoul,9000,42.993,1.592,Vernajoul (9000)
3128,Vernaux,9250,42.786,1.782,Vernaux (9250)
3129,Le Vernet,9700,43.187,1.604,Le Vernet (9700)
3130,Verniolle,9340,43.081,1.661,Verniolle (9340)
3131,Val-de-Sos,9220,42.773,1.511,Val-de-Sos (9220)
3132,Villeneuve,9800,42.95,0.983,Villeneuve (9800)
3133,Villeneuve-d'Olmes,9300,42.912,1.821,Villeneuve-d'Olmes (9300)
3134,Villeneuve-du-Latou,9130,43.203,1.434,Villeneuve-du-Latou (9130)
3135,Villeneuve-du-Paréage,9100,43.159,1.643,Villeneuve-du-Paréage (9100)
3136,Vira,9120,43.049,1.756,Vira (9120)
3137,Viviès,9500,43.061,1.779,Viviès (9500)
3138,Sainte-Suzanne,9130,43.206,1.379,Sainte-Suzanne (9130)
3139,Ailleville,10200,48.255,4.694,Ailleville (10200)
3140,Aix-Villemaur-Pâlis,10160,48.198,3.736,Aix-Villemaur-Pâlis (10160)
3141,Allibaudières,10700,48.586,4.123,Allibaudières (10700)
3142,Amance,10140,48.292,4.487,Amance (10140)
3143,Arcis-sur-Aube,10700,48.528,4.142,Arcis-sur-Aube (10700)
3144,Arconville,10200,48.156,4.729,Arconville (10200)
3145,Argançon,10140,48.25,4.596,Argançon (10140)
3146,Arrelles,10340,48.046,4.274,Arrelles (10340)
3147,Arrembécourt,10330,48.543,4.606,Arrembécourt (10330)
3148,Arrentières,10200,48.268,4.739,Arrentières (10200)
3149,Arsonval,10200,48.28,4.651,Arsonval (10200)
3150,Assenay,10320,48.179,4.065,Assenay (10320)
3151,Assencières,10220,48.356,4.202,Assencières (10220)
3152,Aubeterre,10150,48.422,4.107,Aubeterre (10150)
3153,Aulnay,10240,48.478,4.415,Aulnay (10240)
3154,Auxon,10130,48.092,3.924,Auxon (10130)
3155,Val-d'Auzon,10220,48.4,4.359,Val-d'Auzon (10220)
3156,Avant-lès-Marcilly,10400,48.432,3.56,Avant-lès-Marcilly (10400)
3157,Avant-lès-Ramerupt,10240,48.448,4.258,Avant-lès-Ramerupt (10240)
3158,Avirey-Lingey,10340,48.028,4.297,Avirey-Lingey (10340)
3159,Avon-la-Pèze,10290,48.387,3.652,Avon-la-Pèze (10290)
3160,Avreuil,10130,48.053,3.998,Avreuil (10130)
3161,Bagneux-la-Fosse,10340,47.999,4.291,Bagneux-la-Fosse (10340)
3162,Bailly-le-Franc,10330,48.522,4.659,Bailly-le-Franc (10330)
3163,Balignicourt,10330,48.53,4.454,Balignicourt (10330)
3164,Balnot-la-Grange,10210,47.988,4.198,Balnot-la-Grange (10210)
3165,Balnot-sur-Laignes,10110,48.037,4.353,Balnot-sur-Laignes (10110)
3166,Barberey-Saint-Sulpice,10600,48.327,4.016,Barberey-Saint-Sulpice (10600)
3167,Barbuise,10400,48.551,3.562,Barbuise (10400)
3168,Baroville,10200,48.183,4.741,Baroville (10200)
3169,Bar-sur-Aube,10200,48.234,4.716,Bar-sur-Aube (10200)
3170,Bar-sur-Seine,10110,48.113,4.379,Bar-sur-Seine (10110)
3171,Bayel,10310,48.192,4.791,Bayel (10310)
3172,Bercenay-en-Othe,10190,48.193,3.898,Bercenay-en-Othe (10190)
3173,Bercenay-le-Hayer,10290,48.332,3.59,Bercenay-le-Hayer (10290)
3174,Bergères,10200,48.184,4.669,Bergères (10200)
3175,Bernon,10130,47.987,3.992,Bernon (10130)
3176,Bertignolles,10110,48.137,4.513,Bertignolles (10110)
3177,Bérulle,10160,48.171,3.672,Bérulle (10160)
3178,Bessy,10170,48.541,4.025,Bessy (10170)
3179,Bétignicourt,10500,48.45,4.455,Bétignicourt (10500)
3180,Beurey,10140,48.176,4.473,Beurey (10140)
3181,Blaincourt-sur-Aube,10500,48.381,4.452,Blaincourt-sur-Aube (10500)
3182,Blignicourt,10500,48.453,4.541,Blignicourt (10500)
3183,Bligny,10200,48.174,4.604,Bligny (10200)
3184,Les Bordes-Aumont,10800,48.188,4.119,Les Bordes-Aumont (10800)
3185,Bossancourt,10140,48.283,4.612,Bossancourt (10140)
3186,Bouilly,10320,48.186,3.991,Bouilly (10320)
3187,Boulages,10380,48.587,3.923,Boulages (10380)
3188,Bouranton,10270,48.315,4.18,Bouranton (10270)
3189,Bourdenay,10290,48.361,3.591,Bourdenay (10290)
3190,Bourguignons,10110,48.141,4.362,Bourguignons (10110)
3191,Bouy-Luxembourg,10220,48.375,4.243,Bouy-Luxembourg (10220)
3192,Bouy-sur-Orvin,10400,48.423,3.497,Bouy-sur-Orvin (10400)
3193,Bragelogne-Beauvoir,10340,47.97,4.267,Bragelogne-Beauvoir (10340)
3194,Braux,10500,48.483,4.458,Braux (10500)
3195,Bréviandes,10450,48.256,4.108,Bréviandes (10450)
3196,Brévonnes,10220,48.349,4.409,Brévonnes (10220)
3197,Briel-sur-Barse,10140,48.213,4.354,Briel-sur-Barse (10140)
3198,Brienne-la-Vieille,10500,48.373,4.547,Brienne-la-Vieille (10500)
3199,Brienne-le-Château,10500,48.397,4.539,Brienne-le-Château (10500)
3200,Brillecourt,10240,48.477,4.371,Brillecourt (10240)
3201,Bucey-en-Othe,10190,48.255,3.867,Bucey-en-Othe (10190)
3202,Buchères,10800,48.236,4.114,Buchères (10800)
3203,Buxeuil,10110,48.054,4.406,Buxeuil (10110)
3204,Buxières-sur-Arce,10110,48.137,4.456,Buxières-sur-Arce (10110)
3205,Celles-sur-Ource,10110,48.074,4.422,Celles-sur-Ource (10110)
3206,Chacenay,10110,48.107,4.532,Chacenay (10110)
3207,La Chaise,10500,48.358,4.671,La Chaise (10500)
3208,Chalette-sur-Voire,10500,48.452,4.425,Chalette-sur-Voire (10500)
3209,Chamoy,10130,48.114,3.966,Chamoy (10130)
3210,Champfleury,10700,48.614,4.031,Champfleury (10700)
3211,Champignol-lez-Mondeville,10200,48.125,4.679,Champignol-lez-Mondeville (10200)
3212,Champigny-sur-Aube,10700,48.568,4.072,Champigny-sur-Aube (10700)
3213,Champ-sur-Barse,10140,48.239,4.414,Champ-sur-Barse (10140)
3214,Channes,10340,47.941,4.266,Channes (10340)
3215,Chaource,10210,48.055,4.14,Chaource (10210)
3216,La Chapelle-Saint-Luc,10600,48.316,4.035,La Chapelle-Saint-Luc (10600)
3217,Chapelle-Vallon,10700,48.435,4.042,Chapelle-Vallon (10700)
3218,Chappes,10260,48.166,4.257,Chappes (10260)
3219,Charmont-sous-Barbuise,10150,48.415,4.18,Charmont-sous-Barbuise (10150)
3220,Charmoy,10290,48.393,3.58,Charmoy (10290)
3221,Charny-le-Bachot,10380,48.539,3.952,Charny-le-Bachot (10380)
3222,Chaserey,10210,47.953,4.074,Chaserey (10210)
3223,Châtres,10510,48.493,3.837,Châtres (10510)
3224,Chauchigny,10170,48.426,3.98,Chauchigny (10170)
3225,Chaudrey,10240,48.485,4.245,Chaudrey (10240)
3226,Chauffour-lès-Bailly,10110,48.186,4.31,Chauffour-lès-Bailly (10110)
3227,Chaumesnil,10500,48.358,4.612,Chaumesnil (10500)
3228,Chavanges,10330,48.516,4.567,Chavanges (10330)
3229,Le Chêne,10700,48.563,4.176,Le Chêne (10700)
3230,Chennegy,10190,48.217,3.849,Chennegy (10190)
3231,Chervey,10110,48.135,4.49,Chervey (10110)
3232,Chesley,10210,47.977,4.112,Chesley (10210)
3233,Chessy-les-Prés,10130,48.014,3.934,Chessy-les-Prés (10130)
3234,Clérey,10390,48.208,4.194,Clérey (10390)
3235,Coclois,10240,48.471,4.331,Coclois (10240)
3236,Colombé-la-Fosse,10200,48.271,4.79,Colombé-la-Fosse (10200)
3237,Colombé-le-Sec,10200,48.256,4.803,Colombé-le-Sec (10200)
3238,Cormost,10800,48.156,4.133,Cormost (10800)
3239,Courcelles-sur-Voire,10500,48.482,4.529,Courcelles-sur-Voire (10500)
3240,Courceroy,10400,48.468,3.408,Courceroy (10400)
3241,Coursan-en-Othe,10130,48.078,3.826,Coursan-en-Othe (10130)
3242,Courtaoult,10130,48.025,3.872,Courtaoult (10130)
3243,Courtenot,10260,48.155,4.314,Courtenot (10260)
3244,Courteranges,10270,48.268,4.226,Courteranges (10270)
3245,Courteron,10250,48.016,4.463,Courteron (10250)
3246,Coussegrey,10210,47.95,4.03,Coussegrey (10210)
3247,Couvignon,10200,48.204,4.67,Couvignon (10200)
3248,Crancey,10100,48.519,3.637,Crancey (10100)
3249,Creney-près-Troyes,10150,48.343,4.139,Creney-près-Troyes (10150)
3250,Crésantignes,10320,48.143,4.02,Crésantignes (10320)
3251,Crespy-le-Neuf,10500,48.398,4.61,Crespy-le-Neuf (10500)
3252,Les Croûtes,10130,47.994,3.864,Les Croûtes (10130)
3253,Cunfin,10360,48.044,4.67,Cunfin (10360)
3254,Cussangy,10210,48.023,4.091,Cussangy (10210)
3255,Dampierre,10240,48.565,4.365,Dampierre (10240)
3256,Davrey,10130,48.046,3.96,Davrey (10130)
3257,Dienville,10500,48.33,4.514,Dienville (10500)
3258,Dierrey-Saint-Julien,10190,48.305,3.835,Dierrey-Saint-Julien (10190)
3259,Dierrey-Saint-Pierre,10190,48.332,3.831,Dierrey-Saint-Pierre (10190)
3260,Dolancourt,10200,48.266,4.608,Dolancourt (10200)
3261,Dommartin-le-Coq,10240,48.498,4.356,Dommartin-le-Coq (10240)
3262,Donnement,10330,48.52,4.428,Donnement (10330)
3263,Dosches,10220,48.315,4.268,Dosches (10220)
3264,Dosnon,10700,48.615,4.246,Dosnon (10700)
3265,Droupt-Saint-Basle,10170,48.48,3.957,Droupt-Saint-Basle (10170)
3266,Droupt-Sainte-Marie,10170,48.502,3.94,Droupt-Sainte-Marie (10170)
3267,Eaux-Puiseaux,10130,48.117,3.887,Eaux-Puiseaux (10130)
3268,Échemines,10350,48.39,3.836,Échemines (10350)
3269,Éclance,10200,48.308,4.643,Éclance (10200)
3270,Éguilly-sous-Bois,10110,48.139,4.538,Éguilly-sous-Bois (10110)
3271,Engente,10200,48.28,4.764,Engente (10200)
3272,Épagne,10500,48.398,4.47,Épagne (10500)
3273,Épothémont,10500,48.415,4.662,Épothémont (10500)
3274,Ervy-le-Châtel,10130,48.056,3.905,Ervy-le-Châtel (10130)
3275,Essoyes,10360,48.05,4.539,Essoyes (10360)
3276,Estissac,10190,48.256,3.811,Estissac (10190)
3277,Étourvy,10210,47.951,4.127,Étourvy (10210)
3278,Étrelles-sur-Aube,10170,48.559,3.877,Étrelles-sur-Aube (10170)
3279,Faux-Villecerf,10290,48.33,3.74,Faux-Villecerf (10290)
3280,Fay-lès-Marcilly,10290,48.401,3.606,Fay-lès-Marcilly (10290)
3281,Fays-la-Chapelle,10320,48.131,4.02,Fays-la-Chapelle (10320)
3282,Ferreux-Quincey,10400,48.462,3.601,Ferreux-Quincey (10400)
3283,Feuges,10150,48.397,4.109,Feuges (10150)
3284,Fontaine,10200,48.209,4.718,Fontaine (10200)
3285,Fontaine-les-Grès,10280,48.413,3.889,Fontaine-les-Grès (10280)
3286,Fontaine-Mâcon,10400,48.458,3.507,Fontaine-Mâcon (10400)
3287,Fontenay-de-Bossery,10400,48.45,3.464,Fontenay-de-Bossery (10400)
3288,Fontette,10360,48.076,4.616,Fontette (10360)
3289,Fontvannes,10190,48.282,3.871,Fontvannes (10190)
3290,La Fosse-Corduan,10100,48.44,3.654,La Fosse-Corduan (10100)
3291,Fouchères,10260,48.149,4.271,Fouchères (10260)
3292,Fralignes,10110,48.164,4.38,Fralignes (10110)
3293,Fravaux,10200,48.236,4.642,Fravaux (10200)
3294,Fresnay,10200,48.309,4.757,Fresnay (10200)
3295,Fresnoy-le-Château,10270,48.22,4.234,Fresnoy-le-Château (10270)
3296,Fuligny,10200,48.34,4.698,Fuligny (10200)
3297,Gélannes,10100,48.475,3.668,Gélannes (10100)
3298,Géraudot,10220,48.307,4.323,Géraudot (10220)
3299,Les Grandes-Chapelles,10170,48.468,4.028,Les Grandes-Chapelles (10170)
3300,Grandville,10700,48.594,4.235,Grandville (10700)
3301,Les Granges,10210,48.057,4.062,Les Granges (10210)
