,locality_name,reg_name,dep_name,postal_code,center_latitude,center_longitude,locality
49,Boyeux-Saint-Jérôme,Auvergne-Rhône-Alpes,Ain,1640,46.036,5.463,"Boyeux-Saint-Jérôme (1640), Auvergne-Rhône-Alpes"
50,Boz,Auvergne-Rhône-Alpes,Ain,1190,46.405,4.914,"Boz (1190), Auvergne-Rhône-Alpes"
51,Brégnier-Cordon,Auvergne-Rhône-Alpes,Ain,1300,45.642,5.616,"Brégnier-Cordon (1300), Auvergne-Rhône-Alpes"
52,Brénod,Auvergne-Rhône-Alpes,Ain,1110,46.076,5.614,"Brénod (1110), Auvergne-Rhône-Alpes"
53,Brens,Auvergne-Rhône-Alpes,Ain,1300,45.714,5.69,"Brens (1300), Auvergne-Rhône-Alpes"
54,Bressolles,Auvergne-Rhône-Alpes,Ain,1360,45.869,5.101,"Bressolles (1360), Auvergne-Rhône-Alpes"
55,Brion,Auvergne-Rhône-Alpes,Ain,1460,46.169,5.547,"Brion (1460), Auvergne-Rhône-Alpes"
56,Briord,Auvergne-Rhône-Alpes,Ain,1470,45.771,5.485,"Briord (1470), Auvergne-Rhône-Alpes"
57,Buellas,Auvergne-Rhône-Alpes,Ain,1310,46.21,5.145,"Buellas (1310), Auvergne-Rhône-Alpes"
58,La Burbanche,Auvergne-Rhône-Alpes,Ain,1510,45.86,5.546,"La Burbanche (1510), Auvergne-Rhône-Alpes"
59,Ceignes,Auvergne-Rhône-Alpes,Ain,1430,46.126,5.495,"Ceignes (1430), Auvergne-Rhône-Alpes"
60,Cerdon,Auvergne-Rhône-Alpes,Ain,1450,46.072,5.476,"Cerdon (1450), Auvergne-Rhône-Alpes"
61,Certines,Auvergne-Rhône-Alpes,Ain,1240,46.134,5.262,"Certines (1240), Auvergne-Rhône-Alpes"
62,Cessy,Auvergne-Rhône-Alpes,Ain,1170,46.316,6.078,"Cessy (1170), Auvergne-Rhône-Alpes"
63,Ceyzériat,Auvergne-Rhône-Alpes,Ain,1250,46.183,5.32,"Ceyzériat (1250), Auvergne-Rhône-Alpes"
64,Ceyzérieu,Auvergne-Rhône-Alpes,Ain,1350,45.834,5.719,"Ceyzérieu (1350), Auvergne-Rhône-Alpes"
65,Chalamont,Auvergne-Rhône-Alpes,Ain,1320,46.008,5.169,"Chalamont (1320), Auvergne-Rhône-Alpes"
66,Chaleins,Auvergne-Rhône-Alpes,Ain,1480,46.034,4.798,"Chaleins (1480), Auvergne-Rhône-Alpes"
67,Chaley,Auvergne-Rhône-Alpes,Ain,1230,45.953,5.537,"Chaley (1230), Auvergne-Rhône-Alpes"
68,Challes-la-Montagne,Auvergne-Rhône-Alpes,Ain,1450,46.122,5.458,"Challes-la-Montagne (1450), Auvergne-Rhône-Alpes"
69,Challex,Auvergne-Rhône-Alpes,Ain,1630,46.177,5.971,"Challex (1630), Auvergne-Rhône-Alpes"
70,Champagne-en-Valromey,Auvergne-Rhône-Alpes,Ain,1260,45.932,5.693,"Champagne-en-Valromey (1260), Auvergne-Rhône-Alpes"
